"AUC","Method","Sex.Rate","Samp.Size"
0.784321000000006,"Original (multilocus)","0","n = 10"
0.840159,"Original (multilocus)","0","n = 25"
0.855644000000012,"Original (multilocus)","0","n = 50"
0.864700999999997,"Original (multilocus)","0","n = 100"
0.895543500000002,"Permutataion","0","n = 10"
0.926110499999993,"Permutataion","0","n = 25"
0.930388499999992,"Permutataion","0","n = 50"
0.932789000000014,"Permutataion","0","n = 100"
0.895874499999991,"Parametric Bootstrap","0","n = 10"
0.926729499999993,"Parametric Bootstrap","0","n = 25"
0.929840499999983,"Parametric Bootstrap","0","n = 50"
0.932948499999981,"Parametric Bootstrap","0","n = 100"
0.895234500000015,"Non-Parametric Bootstrap","0","n = 10"
0.925900499999983,"Non-Parametric Bootstrap","0","n = 25"
0.926105999999976,"Non-Parametric Bootstrap","0","n = 50"
0.927032499999996,"Non-Parametric Bootstrap","0","n = 100"
0.979962999999998,"Original (multilocus)","1e-04","n = 10"
0.987011999999993,"Original (multilocus)","1e-04","n = 25"
0.989510000000024,"Original (multilocus)","1e-04","n = 50"
0.988515000000007,"Original (multilocus)","1e-04","n = 100"
0.990933999999982,"Permutataion","1e-04","n = 10"
0.993464999999986,"Permutataion","1e-04","n = 25"
0.995080000000002,"Permutataion","1e-04","n = 50"
0.994499000000019,"Permutataion","1e-04","n = 100"
0.990412499999991,"Parametric Bootstrap","1e-04","n = 10"
0.993954500000001,"Parametric Bootstrap","1e-04","n = 25"
0.995157000000006,"Parametric Bootstrap","1e-04","n = 50"
0.994479499999983,"Parametric Bootstrap","1e-04","n = 100"
0.989081999999996,"Non-Parametric Bootstrap","1e-04","n = 10"
0.992075499999999,"Non-Parametric Bootstrap","1e-04","n = 25"
0.989771999999988,"Non-Parametric Bootstrap","1e-04","n = 50"
0.988058499999994,"Non-Parametric Bootstrap","1e-04","n = 100"
0.993784000000005,"Original (multilocus)","5e-04","n = 10"
0.998998499999999,"Original (multilocus)","5e-04","n = 25"
0.999500000000012,"Original (multilocus)","5e-04","n = 50"
0.998500000000007,"Original (multilocus)","5e-04","n = 100"
