"AUC","Method","Sex.Rate","Samp.Size"
0.784215000000017,"Original (multilocus)","0","n = 10"
0.840159,"Original (multilocus)","0","n = 25"
0.855572000000024,"Original (multilocus)","0","n = 50"
0.864700999999997,"Original (multilocus)","0","n = 100"
0.784999999999997,"Permutataion","0","n = 10"
0.840159,"Permutataion","0","n = 25"
0.855999999999995,"Permutataion","0","n = 50"
0.865566999999999,"Permutataion","0","n = 100"
0.784607499999993,"Parametric Bootstrap","0","n = 10"
0.84099999999998,"Parametric Bootstrap","0","n = 25"
0.855999999999995,"Parametric Bootstrap","0","n = 50"
0.865567000000027,"Parametric Bootstrap","0","n = 100"
0.783037500000006,"Non-Parametric Bootstrap","0","n = 10"
0.838897500000002,"Non-Parametric Bootstrap","0","n = 25"
0.850864000000001,"Non-Parametric Bootstrap","0","n = 50"
0.859071999999998,"Non-Parametric Bootstrap","0","n = 100"
0.979953499999993,"Original (multilocus)","1e-04","n = 10"
0.987011999999993,"Original (multilocus)","1e-04","n = 25"
0.98950499999998,"Original (multilocus)","1e-04","n = 50"
0.988515000000007,"Original (multilocus)","1e-04","n = 100"
0.980999999999995,"Permutataion","1e-04","n = 10"
0.987011999999993,"Permutataion","1e-04","n = 25"
0.989999999999981,"Permutataion","1e-04","n = 50"
0.98950499999998,"Permutataion","1e-04","n = 100"
0.980505499999992,"Parametric Bootstrap","1e-04","n = 10"
0.988,"Parametric Bootstrap","1e-04","n = 25"
0.989999999999981,"Parametric Bootstrap","1e-04","n = 50"
0.989505000000008,"Parametric Bootstrap","1e-04","n = 100"
0.978547499999991,"Non-Parametric Bootstrap","1e-04","n = 10"
0.985530000000011,"Non-Parametric Bootstrap","1e-04","n = 25"
0.984059999999999,"Non-Parametric Bootstrap","1e-04","n = 50"
0.982079999999996,"Non-Parametric Bootstrap","1e-04","n = 100"
0.993784000000005,"Original (multilocus)","5e-04","n = 10"
0.998998499999999,"Original (multilocus)","5e-04","n = 25"
0.999500000000012,"Original (multilocus)","5e-04","n = 50"
0.998500000000007,"Original (multilocus)","5e-04","n = 100"
0.995039999999989,"Permutataion","5e-04","n = 10"
0.998992999999984,"Permutataion","5e-04","n = 25"
1,"Permutataion","5e-04","n = 50"
0.999500000000012,"Permutataion","5e-04","n = 100"
0.994465500000018,"Parametric Bootstrap","5e-04","n = 10"
0.999990999999994,"Parametric Bootstrap","5e-04","n = 25"
1,"Parametric Bootstrap","5e-04","n = 50"
0.999500000000012,"Parametric Bootstrap","5e-04","n = 100"
0.992815000000007,"Non-Parametric Bootstrap","5e-04","n = 10"
0.997500000000002,"Non-Parametric Bootstrap","5e-04","n = 25"
0.994,"Non-Parametric Bootstrap","5e-04","n = 50"
0.99199999999999,"Non-Parametric Bootstrap","5e-04","n = 100"
0.959616000000011,"Original (multilocus)","0.001","n = 10"
0.997721000000013,"Original (multilocus)","0.001","n = 25"
0.999492000000004,"Original (multilocus)","0.001","n = 50"
0.998500000000007,"Original (multilocus)","0.001","n = 100"
0.960102000000006,"Permutataion","0.001","n = 10"
0.997754000000015,"Permutataion","0.001","n = 25"
0.999997999999977,"Permutataion","0.001","n = 50"
