sexrate,term,sumsq,df,statistic,p.value
0.0000,(Intercept),63.93601600000074,1,10569.674483321836,0
,CC ,0.8547781250000686,1,141.3088756846344,1.1270301216728686e-30
,SS ,0.05967925000002161,3,3.288653695641608,0.03198455495583962
,MR ,0.5559851250000793,1,91.91348095289167,8.966831764614182e-21
,CC X SS ,8.982499999987681e-4,3,0.049498497084081335,0.9994294422940572
,CC X MR ,0.1738890000000346,1,28.74671024592303,1.8934319240099158e-7
,SS X MR ,0.0018187499999964274,3,0.10022309109002488,0.9994294422940572
,CC X SS X MR ,1.0092187499921579e-4,3,0.005561348327753481,0.9994294422940572
,Residuals,9.581624249999853,1584,NA,NA
0.0001,(Intercept),70.97220025000057,1,14652.09414045149,0
,CC ,0.4960080000000735,1,102.40003670194912,9.152709408230658e-23
,SS ,0.027412187500015506,3,1.886400357844949,0.20781874279948165
,MR ,0.3403125000000484,1,70.25695652112827,3.0234259147422674e-16
,CC X SS ,0.008667093750000632,3,0.5964357551351167,0.8231489991040518
,CC X MR ,0.07603806250002254,1,15.697933079196728,1.5521248565705207e-4
,SS X MR ,0.0011219999999996233,3,0.0772116855504366,0.9723180303790122
,CC X SS X MR ,0.0034975624999988852,3,0.2406886773111028,0.9723180303790122
,Residuals,7.672620999999716,1584,NA,NA
0.0005,(Intercept),91.93933224999638,1,245382.75120464806,0
,CC ,0.07163112500003799,1,191.18088085085108,1.0365103962233536e-40
,SS ,0.08852075000005233,3,78.75289295716534,6.969664264341877e-47
,MR ,0.04961250000003237,1,132.4139674089163,3.480138977847843e-29
,CC X SS ,0.04743937500002671,3,42.20465847080737,4.941945854395198e-26
,CC X MR ,0.027225000000016375,1,72.66253993867588,4.0355385382755924e-17
,SS X MR ,0.03496309375002371,3,31.105077391971133,2.0676252886605271e-19
,CC X SS X MR ,0.017779671875011505,3,15.817766975375603,3.887919520259796e-10
,Residuals,0.5934887499999458,1584,NA,NA
0.0010,(Intercept),86.20194024999752,1,157278.03305061875,0
,CC ,0.22411512500005393,1,408.9047872318981,1.2122521052942288e-80
,SS ,0.2694171875000724,3,163.85325433570054,6.716940603978505e-92
,MR ,0.11328800000004147,1,206.69736384785764,6.101074491732655e-44
,CC X SS ,0.134916093750036,3,82.05282383180516,4.833041181575607e-49
,CC X MR ,0.05978025000002052,1,109.07086439133545,1.1142225718508515e-24
,SS X MR ,0.06740509375002701,3,40.99420705942138,2.187296776298542e-25
,CC X SS X MR ,0.03358629687501302,3,20.426402989060886,5.48027546851682e-13
,Residuals,0.8681687499998836,1584,NA,NA
0.0050,(Intercept),52.26567025000023,1,14127.57190885431,0
,CC ,0.9363961250000683,1,253.1107613818639,1.4709167590463767e-52
,SS ,2.591884250000091,3,233.531436257327,7.539288960819513e-125
,MR ,0.13833800000001872,1,37.393188174552186,1.9421441354169003e-9
,CC X SS ,0.23447434375000853,3,21.12637949068586,4.0543176122142523e-13
,CC X MR ,0.028392250000004893,1,7.674512765465498,0.00755469600136854
,SS X MR ,0.026468593749996217,3,2.3848475155278055,0.07719577632407489
,CC X SS X MR ,0.021907812499996737,3,1.973916434879458,0.11594211705912538
,Residuals,5.860088500000011,1584,NA,NA
0.0100,(Intercept),39.37562500000046,1,5724.21190316156,0
,CC ,0.6856205000000912,1,99.67173923339769,2.227303547617298e-22
,SS ,2.454795687500093,3,118.95490077272875,7.10232910236796e-69
,MR ,0.06752812500001326,1,9.8168675906288,0.0028173793164601424
,CC X SS ,0.17293649999997918,3,8.38018589580877,3.161820008625783e-5
,CC X MR ,0.002601000000002074,1,0.3781190815417741,0.5386999173874089
,SS X MR ,0.05135124999998908,3,2.488387477381043,0.06726607608882398
,CC X SS X MR ,0.05613249999999326,3,2.720078091070903,0.0575589309252154
,Residuals,10.895995999999997,1584,NA,NA
0.0500,(Intercept),28.670670250001102,1,1903.303236664106,7.773112900575423e-273
,CC ,0.07239012500000541,1,4.805620448131166,0.057024258646448486
,SS ,0.23918668750000194,3,5.292804952658349,0.003316472862457655
,MR ,0.0012004999999994936,1,0.07969522566760362,0.9803026147552699
,CC X SS ,0.3907368437500125,3,8.646358722561203,4.3303905946379643e-5
,CC X MR ,4.84000000000151e-4,1,0.03213035337204461,0.9803026147552699
,SS X MR ,0.03654175000000137,3,0.8086083611104343,0.7824751186004312
,CC X SS X MR ,0.001254249999998791,3,0.027754473634199417,0.9937646179615882
,Residuals,23.8608020000002,1584,NA,NA
0.1000,(Intercept),26.010000000000854,1,1441.494723872687,6.041250763909549e-224
,CC ,0.009453125000003837,1,0.5238996467363392,0.9385796113905156
,SS ,0.130959500000003,3,2.4192929423427607,0.17206955553878858
,MR ,1.2500000000414957e-5,1,6.927598634579442e-4,0.9975456135626664
,CC X SS ,0.1615436250000002,3,2.9842917225779595,0.1209181898656377
,CC X MR ,2.402500000009411e-4,1,0.013314844575552135,0.9975456135626664
,SS X MR ,0.01384062499999672,3,0.2556861196026757,0.9975456135626664
