sexrate,term,sumsq,df,statistic,p.value
0.0000,(Intercept),96.91418024999633,1,169384.02190455783,0
,CC ,5.445000000033895e-4,1,0.9516625914773467,0.8066663411817743
,SS ,0.007492500000006674,3,4.365063952620359,0.018157186479521827
,MR ,1.5312499999808882e-4,1,0.2676277948893855,0.8066663411817743
,CC X SS ,0.0010950937500000535,3,0.6379918922737449,0.8066663411817743
,CC X MR ,7.562499999669292e-6,1,0.013217535992143955,0.95755983428388
,SS X MR ,0.0012076249999969368,3,0.7035515990343986,0.8066663411817743
,CC X SS X MR ,1.7906249999954937e-4,3,0.1043202220905487,0.95755983428388
,Residuals,0.9062959999998882,1584,NA,NA
0.0001,(Intercept),96.53062499999635,1,202595.9876180351,0
,CC ,0.001352000000005238,1,2.8375427514394125,0.24608516716402035
,SS ,0.009069687500015244,3,6.345075449553318,0.001131877450738642
,MR ,3.920000000028345e-4,1,0.822719495982225,0.585138956757214
,CC X SS ,5.773750000027666e-4,3,0.4039265892785189,0.9530756165578101
,CC X MR ,3.900625000020641e-4,1,0.8186531209206445,0.585138956757214
,SS X MR ,2.543437500017731e-4,3,0.17793670221616006,0.9530756165578101
,CC X SS X MR ,1.6017187500105834e-4,3,0.1120548675768996,0.9530756165578101
,Residuals,0.7547262499999415,1584,NA,NA
0.0005,(Intercept),91.13566224999677,1,158601.67639834742,0
,CC ,0.05120000000003122,1,89.10239560584994,3.4379869569476125e-20
,SS ,0.10571568750005411,3,61.32500657140945,6.608047208790283e-37
,MR ,0.0355111250000264,1,61.799341956234656,1.3949951245421168e-14
,CC X SS ,0.03316262500002154,3,19.237430547386484,4.756588018737165e-12
,CC X MR ,0.019113062500013545,1,33.26210265848641,1.1046742154313753e-8
,SS X MR ,0.024372843750018802,3,14.138533631851717,5.698018719602474e-9
,CC X SS X MR ,0.012145796875009385,3,7.045700508494298,1.0507829971866235e-4
,Residuals,0.9101977499999429,1584,NA,NA
0.0010,(Intercept),84.68600624999767,1,113261.63409249313,0
,CC ,0.2112500000000519,1,282.5321592260788,4.813125579291369e-58
,SS ,0.3389665000000801,3,151.1146937282931,1.6063067739804364e-85
,MR ,0.10305800000003762,1,137.83289593147782,2.2520020405221443e-30
,CC X SS ,0.12634059375003326,3,56.32391439856875,2.7163431000441075e-34
,CC X MR ,0.05336100000001842,1,71.36662034775989,7.563202240881461e-17
,SS X MR ,0.06051084375002436,3,26.976346100642292,6.859048833304558e-17
,CC X SS X MR ,0.029522171875011605,3,13.161282784833773,1.7254865980020152e-8
,Residuals,1.1843607499998727,1584,NA,NA
0.0050,(Intercept),51.086756250000164,1,13448.247223699147,0
,CC ,0.8877781250000734,1,233.70165931787912,6.851012404885955e-49
,SS ,2.8119425000000664,3,246.74169128929847,9.332348837283854e-131
,MR ,0.1265045000000189,1,33.30146432835422,1.5161872605892894e-8
,CC X SS ,0.22622575000000822,3,19.850805686172688,2.4845118475553858e-12
,CC X MR ,0.0238702500000052,1,6.2836838127018675,0.016379924742030805
,SS X MR ,0.030560999999995175,3,2.6816596809824182,0.051947347182117694
,CC X SS X MR ,0.02491242187499587,3,2.1860095316845425,0.08784446739284445
,Residuals,6.0172467500000035,1584,NA,NA
0.0100,(Intercept),38.90640625000052,1,5499.578882665759,0
,CC ,0.6339380000000734,1,89.60971659313101,2.6970104365109374e-20
,SS ,2.557856187500093,3,120.52112774847778,1.0519708672461782e-69
,MR ,0.070125125000013,1,9.912471846313604,0.0026755857172866136
,CC X SS ,0.18211159374997798,3,8.580738339425954,2.377092630727473e-5
,CC X MR ,0.00313600000000136,1,0.44328636433876617,0.5056374592452698
,SS X MR ,0.0481785937499879,3,2.2700801086707614,0.08986293118202764
,CC X SS X MR ,0.0537143749999931,3,2.530915179258322,0.07415035807826514
,Residuals,11.20590299999999,1584,NA,NA
0.0500,(Intercept),28.40357025000111,1,1861.8395815451806,1.0161181774889898e-268
,CC ,0.06354612500000556,1,4.165416169075517,0.08284548446849008
,SS ,0.27441368750000095,3,5.995892542244202,0.001234678867131754
,MR ,0.0011045000000002858,1,0.07239941316236741,0.9433305958609428
,CC X SS ,0.4009076250000163,3,8.759763628286267,3.684995901699302e-5
,CC X MR ,7.425625000010427e-4,1,0.04867459414796484,0.9433305958609428
,SS X MR ,0.03473809375000059,3,0.7590214582405413,0.8273693737748395
,CC X SS X MR ,8.936718749978922e-4,3,0.019526578937587507,0.9962930929311106
,Residuals,24.16494725000021,1584,NA,NA
0.1000,(Intercept),25.984506250000862,1,1413.2383983544191,1.0253470908793338e-220
,CC ,0.007750125000001162,1,0.4215117322866053,0.9981634308654022
,SS ,0.14517800000000491,3,2.6319674529932393,0.12955918912715603
,MR ,6.612500000002797e-5,1,0.0035963888708294856,0.9981634308654022
,CC X SS ,0.16405109374999682,3,2.9741223834046733,0.12259395613791504
,CC X MR ,3.4224999999921124e-4,1,0.0186142017548019,0.9981634308654022
,SS X MR ,0.012629624999998867,3,0.22896555913087813,0.9981634308654022
,CC X SS X MR ,6.714218750012435e-4,3,0.012172371311278567,0.9981634308654022
,Residuals,29.124214250000293,1584,NA,NA
0.5000,(Intercept),25.36633225000092,1,1459.704636275781,5.196031793168773e-226
,CC ,5.281249999988802e-4,1,0.03039093328256871,0.9985662447762986
,SS ,0.05097925000000103,3,0.977866341961453,0.9985662447762986
,MR ,0.0027380000000007954,1,0.15755810712935672,0.9985662447762986
,CC X SS ,0.0013556249999986392,3,0.026003129897388445,0.9985662447762986
,CC X MR ,9.024999999951433e-5,1,0.005193432859178281,0.9985662447762986
,SS X MR ,0.004084093750002182,3,0.07833967379945674,0.9985662447762986
,CC X SS X MR ,5.374218749985005e-4,3,0.010308640535049261,0.9985662447762986
,Residuals,27.52630175000022,1584,NA,NA
