sexrate,term,sumsq,df,statistic,p.value
0.0000,(Intercept),22.932149999999805,1,17347.604220912574,1.3916992878855661e-106
,sample,0.0044458333333337735,3,1.1210543145586036,0.34473515803891286
,Residuals,0.12161666666666655,92,NA,NA
0.0001,(Intercept),23.601666666666475,1,29949.70114942517,1.8985844289362e-117
,sample,8.333333333333387e-4,3,0.35249042145594056,0.7874334730948738
,Residuals,0.07249999999999969,92,NA,NA
0.0005,(Intercept),23.562016666666477,1,28317.511865882767,2.480058433215803e-116
,sample,8.458333333333512e-4,3,0.33884897307497913,0.7972749053724838
,Residuals,0.07654999999999965,92,NA,NA
0.0010,(Intercept),23.562016666666477,1,28317.511865882767,2.480058433215803e-116
,sample,8.458333333333512e-4,3,0.33884897307497913,0.7972749053724838
,Residuals,0.07654999999999965,92,NA,NA
0.0050,(Intercept),19.117349999999824,1,6103.399190283395,6.62365450202709e-86
,sample,0.17448333333333738,3,18.568498168498753,1.6789390031135015e-9
,Residuals,0.2881666666666643,92,NA,NA
0.0100,(Intercept),13.984266666666532,1,1590.8897407361537,7.353373041032345e-60
,sample,0.8056833333333416,3,30.552271821717085,8.529231501757846e-14
,Residuals,0.8086999999999959,92,NA,NA
0.0500,(Intercept),6.510416666666638,1,232.78598264023734,6.16799419357646e-27
,sample,1.3400500000000002,3,15.971576629097038,1.9399510746329754e-8
,Residuals,2.573,92,NA,NA
0.1000,(Intercept),5.920266666666635,1,155.0175605035711,1.932406360252563e-21
,sample,0.5754833333333345,3,5.022860594331193,0.0028656843381385053
,Residuals,3.513566666666666,92,NA,NA
0.5000,(Intercept),6.161066666666643,1,169.85944390891925,1.2986379596435267e-22
,sample,0.05897916666666658,3,0.5420148270976609,0.6547393482159225
,Residuals,3.33698333333333,92,NA,NA
